Customer_ID,Edad,churn_estimado,retencion_estimado,CLTV_1_anio,CLTV_2_anios,CLTV_3_anios,CLTV_4_anios,CLTV_5_anios
63910,42,0,1,"2646,878479574328","5131,2293332098825","7433,798417067225","9595,752595040149","11618,724004429101"
41053,30,0,1,"6734,09343969042","13054,689913785816","18912,80371904496","24413,170116349353","29559,94153096989"
49636,45,1,0,0,0,0,0,0
32004,30,1,0,0,0,0,0,0
87506,45,1,0,0,0,0,0,0
48897,54,0,1,"10120,43023510514","19619,4305434933","28423,382048828666","36689,687660708434","44424,58791182451"
3922,30,1,0,0,0,0,0,0
65166,26,0,1,"3415,88785046729","6622,028201344483","9593,572916791638","12383,6492526695","14994,363538383786"
83550,31,0,1,"5329,78515625","10332,302802905702","14968,782572976841","19322,11854029554","23395,597195429473"
60187,52,"0,4948911959885973","0,5051088040114027","1172,7965078120533","1728,8115343983468","1989,1097596049833","2112,5594374836937","2170,906387544458"
85511,45,0,1,"4679,616853232696","9071,888811968647","13142,775017626358","16965,05748553398","20541,621794790397"
42309,58,0,1,"8888,242917640187","17230,716533320014","24962,76525029156","32222,627786074","39015,78487312757"
27292,45,"0,8085857380710317","0,19141426192896827","373,25781076148814","440,31759070978813","452,2145549729362","454,3527349877146","454,73570239893894"
16445,32,"0,7027382811025866","0,2972617188974134","643,8355453689303","823,4713323574175","872,9629427719569","886,7764635772068","890,6187225268909"
25962,57,"0,9099468490809266","0,0900531509190734","166,05127734890826","180,08652435870175","181,2579607550934","181,35701006232506","181,3653563551097"
22870,42,0,1,"3660,2803738317757","7095,80668962125","10279,953031084664","13269,647687573213","16067,147687573215"
49448,30,0,1,"7481,560765917056","14503,7274497164","21012,0770590914","27122,970203771743","32841,02021772264"
44821,49,0,1,"4051,4018691588785","7854,033448106247","11378,423692008686","14687,583997352198","17784,01256878077"
21614,49,0,1,"3940,4205607476633","7638,885473028366","11066,731001483651","14285,24245186533","17296,849594722473"
51443,55,1,0,0,0,0,0,0
96606,54,1,0,0,0,0,0,0
55535,41,"0,4571212207560107","0,5428787792439893","1337,7903001603631","2019,4534778691295","2362,4363559975277","2537,26360424281","2626,0722500062666"
62504,45,1,0,0,0,0,0,0
20358,48,0,1,"9702,55183995327","18809,33295289187","27249,764228298372","35174,74931894723","42590,271082340085"
18397,27,0,1,"10120,43023510514","19619,4305434933","28423,382048828666","36689,687660708434","44424,58791182451"
53921,26,0,1,"12496,206009053738","24225,101122814707","35095,78439898341","45302,60915447005","54853,28088996112"
97110,44,1,0,0,0,0,0,0
17880,29,1,0,0,0,0,0,0
23763,49,1,0,0,0,0,0,0
67114,38,1,0,-0,-0,-0,-0,-0
55177,30,0,1,"5294,439155364705","10263,781169610525","14869,512792570065","19193,9783622191","23240,442573819266"
89232,38,0,1,"8643,50449036215","16756,267476930134","24275,4136596029","31335,375342570453","37941,48234591867"
13219,27,0,1,"9183,803665303738","17803,689561685318","25792,852099795076","33294,126849317974","40313,1767935144"
92574,48,"0,7363868371076654","0,2636131628923346","516,169383860893","643,8833109999287","675,0869389653883","682,8102939927771","684,7153877366718"
10002,59,0,1,"4330,841121495327","8395,753402197082","12163,23307699383","15700,6376571465","19010,6376571465"
34973,30,1,0,0,0,0,0,0
74804,40,1,0,-0,-0,-0,-0,-0
80687,45,1,0,-0,-0,-0,-0,-0
78726,37,1,0,0,0,0,0,0
17846,59,0,1,"11356,850540303738","22016,350608834444","31895,887257716557","41172,093424224186","49851,97205145633"
